ARTIST_ID,"ARTIST_NAME"
26,"AAA"
86,"Acid Black Cherry"
74,"AI"
39,"Aimer"
4,"AKB48"
62,"Aqours"
5,"back number"
76,"Beverly"
91,"BIGBANG"
93,"BLUE ENCOUNT"
64,"Bruno Mars"
15,"BUMP OF CHICKEN"
51,"Che'Nelle"
37,"ClariS"
43,"DAOKO×米津玄師"
98,"Doughnuts Hole"
30,"DREAMS COME TRUE"
69,"E-Girls"
84,"Ed Sheeran"
61,"EGOIST"
3,"EXILE"
59,"fhana"
87,"FLOW"
42,"fripSide"
63,"GARNiDELiA"
46,"GENERATIONS"
57,"GLAY"
27,"GReeeeN"
94,"HY"
31,"JUJU"
65,"Kalafina"
48,"L'Arc〜en〜Ciel"
95,"Linked Horizon"
20,"LiSA"
45,"Little Glee Monster"
58,"MAN WITH A MISSION"
81,"MISIA"
78,"miwa"
99,"NMB48"
88,"N．J．P． UNIT"
21,"ONE OK ROCK"
28,"Perfume"
68,"Poppin’Party"
11,"RADWIMPS"
22,"SEKAI NO OWARI"
53,"Superfly"
92,"TrySail"
67,"TUBE"
38,"TWICE"
33,"UNISON SQUARE GARDEN"
23,"UVERworld"
13,"WANIMA"
50,"X JAPAN (X)"
96,"[Alexandros]"
34,"いきものがかり"
85,"ももいろクローバーZ"
71,"ゆず"
16,"ケツメイシ"
35,"コブクロ"
9,"サザンオールスターズ"
89,"シド"
56,"スキマスイッチ"
29,"スピッツ"
47,"ポルノグラフィティ"
24,"三代目 J Soul Brothers"
25,"三浦大知"
14,"中島みゆき"
70,"中島美嘉"
6,"乃木坂46"
18,"倉木麻衣"
60,"倖田來未"
83,"加藤ミリヤ"
32,"和楽器バンド"
100,"坂本真綾"
8,"宇多田ヒカル"
2,"安室奈美恵"
77,"家入レオ"
54,"小田和正"
66,"己龍"
19,"平井堅"
7,"星野源"
97,"松山千春"
90,"松田聖子"
44,"桑田佳祐"
79,"椎名林檎"
82,"槇原敬之"
12,"欅坂46"
17,"水樹奈々"
41,"浜崎あゆみ"
75,"清水翔太"
80,"湘南乃風"
36,"福山雅治"
73,"秦 基博"
1,"米津玄師"
49,"菅田 将暉"
55,"藍井エイル"
10,"西野カナ"
72,"鈴木このみ"
40,"長渕剛"
52,"高橋優"
